Name,Type
附件中列出的設備名稱,Entity
DLDK container NOT running,Entity
8.0.6 / 2024.10.22,Entity
2025/12/24 09:00,Entity
全部主機之KV store 憑證,Entity
A部門,Entity
9.3.1,Entity
Splunk的現行版本,Entity
Splunk 使用者權限調整,Entity
重新安裝Splunk，設定FIPS mode=0,Entity
661.01 GB,Entity
2025/10/13 13:30 至 2025/10/13 17:30,Entity
授權用量建議擴充,Entity
Splunk_10月維護,Entity
8.0.6,Entity
MG02磁碟用量超過90%,Entity
橘底標示,Entity
2025/12/24 13:30 至 2025/12/24 20:00,Entity
其餘皆設為low,Entity
新增/etc/hosts,Entity
Cybereyes API,Entity
Splunk駐點服務202512第一周(2025/12/2),Entity
CVE-2025-6454、CVE-2025-2256,Entity
2025/10/20 11:00 至 2025/10/20 16:00,Entity
C人员,Entity
Apim1,Entity
forwarder上,Entity
Arcsight和Splunk,Entity
產出一份DC_ARP_table報表並與現有設備清單做比對,Entity
B人员,Entity
GCP报表User栏位调整,Entity
Asset and Identity,Entity
重啟服務,Entity
Splunk SIEM,Entity
新crowdstrike套件,Entity
splunk LDAP,Entity
日誌轉發設定,Entity
告警盤點,Entity
AI網站服務紀錄調閱 (202508-202510),Entity
撈取,Entity
(下周進行),Entity
85%,Entity
針對不同mitreattack新增告警,Entity
完成,Entity
IP事件,Entity
F5VPN特定使用者連線的紀錄(sas)報表,Entity
Raw data內就有換行字元,Entity
Splunk駐點服務202512第四周(2025/12/23),Entity
55.15GB,Entity
9.2.3,Entity
splunk憑證,Entity
事件時間只抓取事件前32個位元的範圍,Entity
2025/11/26 17:30,Entity
Hank,Entity
Splunk與UF最新版本： 10.0.2 / 2025.11.14 (EOS:2027.07.28),Entity
ASA事件,Entity
Splunk監控主機系統移轉與VM化服務,Entity
DC_ARP報表語法檢查,Entity
信用卡處,Entity
無具体部门,Entity
B客户,Entity
2025/12/18 09:00 至 2025/12/18 17:30,Entity
Ryan,Entity
2025/12/15 13:30 至 2025/12/15 17:30,Entity
checkpoint logclm uf,Entity
admin角色,Entity
10.0.2 / 2025.11.14,Entity
帳號盤點並寄送報表給Hank,Entity
釋放空間,Entity
DNS_TUNNELING_單一來源查詢不同網域數量與DNS查詢次數超標,Entity
NTP服務,Entity
今日已完成Splunk版本升級,Entity
調整 於報表新增需監控之url,Entity
audit.log持續累積,Entity
Splunk的最新版本,Entity
補產出ARP_table報表給您(排程設定每月執行）,Entity
扩充至285GB,Entity
每月1號,Entity
Cybereyes API 串接,Entity
時間為 2025/11/27 13:30 至 2025/11/27 16:00,Entity
可刪除索引能力,Entity
PA每月報表觸發動作變更,Entity
SplunkAdd-on for Google Cloud Platform的sourcetype,Entity
需使用API的IP申請單,Entity
Splunk駐點服務202510第三周(2025/10/13),Entity
101台UF已超过15分钟未与indexer连线,Entity
版本更新,Entity
Splunk microsoft套件,Entity
2025/11/24 10:30 至 2025/11/24 12:00,Entity
2025/12/09 13:30 至 2025/12/09 17:30,Entity
2025/12/15 09:00 至 2025/12/15 18:00,Entity
bucket replication造成,Entity
E客戶Splunk駐點,Entity
Tcpdump,Entity
2025/12/10 13:30,Entity
待處理,Entity
Identity將帳號狀態加入category欄位,Entity
設定,Entity
G客户,Entity
estreamer资料,Entity
Splunk整體架構IP,Entity
critical,Entity
白名單,Entity
ess_analyst角色,Entity
CVE-2023-3567,Entity
送出格式,Entity
2026/01/13 13:30 至 2026/01/13 17:30,Entity
forcepoint endpoint dlp,Entity
90%,Entity
Description,Entity
现行版本近期被扫出弱點，建议进行升版,Entity
異常原因,Entity
Splunk工作事項 - 0729,Entity
今日工作項目,Entity
20251124,Entity
Splunk駐點服務20251226 - websense,Entity
FISAC資料收容,Entity
維護紀錄有關,Entity
時間為 2025/11/05 13:30 至 2025/11/05 19:00,Entity
KGIBIDX04,Entity
預設傳輸上限,Entity
調整物件,Entity
2025/11/11 13:30 至 2025/11/11 17:30,Entity
12/9執行,Entity
Splunk 10月維護報告,Entity
splunk_銀行處,Entity
Apim1與imsdb01,Entity
2025.11.14,Entity
刪除舊版本殘留的ES threat intelligence download設定,Entity
無,Entity
SASE VPN,Entity
2025/11/06 11:00 至 2025/11/06 12:00,Entity
url,Entity
2025/12/26 09:00 至 2025/12/26 10:30,Entity
2025/12/04 10:00 至 2025/12/04 10:30,Entity
定保內容,Entity
新增設備,Entity
Splunk驻点服务202510第一周(2025/10/01),Entity
PA報表寄信異常,Entity
Splunk_12月维护,Entity
kvstore,Entity
10.0.1 / 2025.09.25,Entity
Action,Entity
D客戶,Entity
SH,Entity
授权用量：建议扩充 -授权量：100GB -平均授权用量：132GB,Entity
2025/11/07 13:50 至 2025/11/07 17:30,Entity
3.系統優化建議,Entity
舊的殘留input設定,Entity
1398GB,Entity
indexer,Entity
調查,Entity
处理工程师,Entity
弱點,Entity
HTTPS大量传输告警,Entity
asset中異常,Entity
2025/12/24 17:00,Entity
建立告警,Entity
C客戶,Entity
IP,Entity
資料收容,Entity
n8n,Entity
FISAC资料收容申请单,Entity
C人員的工作時間,Entity
202512第五周(2025/12/30),Entity
Splunk帳號,Entity
狀態為正常,Entity
Splunk駐點服務202511第一周(2025/11/4),Entity
es_admin_user,Entity
2025/11/04 13:30 至 2025/11/04 17:30,Entity
GitLab升版 17.10.8 → 18.1.6,Entity
LDAP,Entity
Tenable API App,Entity
2025/11/21 09:30 至 2025/11/21 17:00,Entity
2025/12/31 13:30,Entity
後續,Entity
2025/12/12 18:00,Entity
2025/12/02 09:00,Entity
今日工作內容如下,Entity
202511第四周,Entity
索引,Entity
Gitlab,Entity
Splunk角色能力异常,Entity
已重新开启,Entity
Calvin,Entity
2025/07/29 13:30 至 2025/07/29 17:00,Entity
Finding,Entity
Splunk驻点服务,Entity
全數logclm UF,Entity
時間為 2025/11/12 13:30 至 2025/11/12 17:40,Entity
2028/11,Entity
本人,Entity
解決問題,Entity
dbconenct異常問題,Entity
维护纪录,Entity
当前版本,Entity
101台UF,Entity
Management.搜尋異常,Entity
2025/11/19 13:30 至 2025/11/19 14:30,Entity
時間為2026/01/07 13:30 至 2026/01/07 17:30,Entity
PA每月报表,Entity
狀態描述,Entity
页面,Entity
處理,Entity
A人员,Entity
<F5VPN特定使用者連線的紀錄(ssp)>調整,Entity
新資料,Entity
(評估中),Entity
Splunk角色問題,Entity
2. 伺服器效能：正常,Entity
GitLab漏洞,Entity
Cybereyes介接套件,Entity
處理工程師為 A人員 進行維護,Entity
sailag,Entity
CVE-2023-51043,Entity
已完成驗證,Entity
splunk自動version check,Entity
報告,Entity
GitLab,Entity
進行,Entity
Splunk 2025 MA 12月定保.DM20250088_(8/12),Entity
"更新geodb, 自動化封鎖清單異動儀表板建置 (進行中), 情資白名單新增 Cyble ASM IP",Entity
佩雯,Entity
A人員,Entity
新增設定後已完整收容所有檔案之資料,Entity
IT部门,Entity
FCB設定導致權限限制,Entity
H1,Entity
補跑設備IP往段清單給全科人員 （每月),Entity
clean.sh,Entity
audit.log,Entity
DEP02 ([IP])移轉,Entity
可删除索引的能力,Entity
2.伺服器效能,Entity
2025/11/24 11:30 至 2025/11/24 12:00,Entity
Splunk驻点服务202510第五周(2025/10/27),Entity
Splunk升版完成,Entity
172.18.44.33(DEP02)主機,Entity
title(职称),Entity
splunk_信用卡處11月月維護,Entity
2025/12/12 17:30,Entity
Splunk 2025 MA 10月,Entity
資料平衡確認,Entity
630 GB,Entity
A客户,Entity
Trendmicro host资料收容新增,Entity
B部门同事,Entity
2025/12/16 14:00,Entity
比對結果,Entity
FWD03備份異常,Entity
2025/11/18 17:30,Entity
保留log,Entity
Splunk駐點服務202512第三周(2025/12/15),Entity
375 GB,Entity
排程腳本,Entity
憑證,Entity
全科人員,Entity
今日工作內容,Entity
admin能力選項,Entity
B部門indexer索引同步狀態,Entity
SH KVstore引擎異常測試,Entity
CDIBHMGT02,Entity
2026/01/05 13:30 至 2026/01/05 17:30,Entity
磁碟用量,Entity
2025/11/26 13:30,Entity
工程師,Entity
工作項目,Entity
splunk,Entity
描述,Entity
網頁憑證,Entity
10.0.2,Entity
已完成，正在等待防火牆開通,Entity
僅留存6小時資料 (原為12小時),Entity
Splunk_11月維護,Entity
KPMG,Entity
F5VPN特定使用者連線的紀錄(sas),Entity
建議更新,Entity
待辦事項,Entity
建議擴充,Entity
Splunk bundle儲存量過大,Entity
Splunk駐點服務,Entity
讓splunk監控所有檔案即使內容相似,Entity
4. 版本更新：建議更新 -當前版本：9.3.3/2025.02.26 -最新版本：10.0.2/2025.11.14,Entity
Splunk,Entity
10.0.0 / 2025.07.28,Entity
处理工程師,Entity
2025/12/19 13:30 至 2025/12/19 18:00,Entity
cyberark日志,Entity
週onsite 處置動作,Entity
B客戶,Entity
各台主機KV store 憑證效期,Entity
PA TRAFFIC事件sourcetype,Entity
過去備份及安裝檔,Entity
es_admin_user與admin角色,Entity
2025/12/16 14:00 至 2025/12/16 18:40,Entity
版本更新建议,Entity
2025/11/03 10:00 至 2025/11/03 12:00,Entity
授权用量,Entity
Splunk10月維護報告,Entity
Splunk平台維護案(06-11月)半年系統檢視_DM20250258_(1/2),Entity
作業系統版本,Entity
Assets僅針對H1、H2、H3的設備將priority設為critical,Entity
2025/11/18 13:30,Entity
2025/11/04 13:30,Entity
C客户,Entity
個人測試環境,Entity
下周进行,Entity
PA每月报表触发的动作,Entity
當前版本,Entity
SSH Server,Entity
2025/12/04 09:30 至 2025/12/04 10:00,Entity
協助新增寄信套件,Entity
9.3.3,Entity
Checkpoint 資料,Entity
正常,Entity
系統優化建议,Entity
无具体部门,Entity
18.5.2,Entity
2025/12/19 13:30 至 2025/12/19 16:00,Entity
今日到場作業項目,Entity
2025/11/07 17:00,Entity
IDX01、IDX02、IDX03空间使用量,Entity
各台主機KV store,Entity
最新版本,Entity
建议,Entity
DEP02 root服務確認,Entity
2025/11/07 15:00,Entity
uf log limit,Entity
已在轉送器監視設定中更新uf清單，並於更新後讓uf重新報到。,Entity
本月月維護,Entity
修改SASE VPN登入成功報表條件，與確認送至SOAR欄位,Entity
ess_analyst,Entity
PA事件時間,Entity
pice_logs,Entity
使用者權限,Entity
下線,Entity
3. 系統優化建議：根據說明定期檢查,Entity
工作內容,Entity
C人員,Entity
版本更新：建议更新 -当前版本：9.3.3/2025.02.26 -最新版本：10.0.2/2025.11.14,Entity
SPLUNK2024/09~2025/08維護報告,Entity
B人員,Entity
重啟後,Entity
效期,Entity
防火牆,Entity
底層查看缺少設備的原因,Entity
新增告警,Entity
凌晨1:00時CPU和記憶體,Entity
Splunk駐點服務202601第三周,Entity
10.0.1/2025.09.25,Entity
歷史案件,Entity
附件,Entity
2025/12/01 10:00 至 2025/12/01 12:00,Entity
確認事件,Entity
SSH Server 漏洞修補,Entity
自动化程式,Entity
"A人員, C人員",Entity
評估中,Entity
DNS設定,Entity
申請使用底層,Entity
2025/11/11 13:30 至 2025/11/11 17:00,Entity
James,Entity
ZTA,Entity
進行中,Entity
Red Hat 9.4,Entity
A部门 1.Splunk角色能力异常问题解决措施,Entity
SPLUNK2024/09~2025/08的維護報告,Entity
該台主機,Entity
平均授權使用量,Entity
logrotate,Entity
sailag使用者,Entity
checkpoint 資料收容,Entity
websense,Entity
將SASE登入成功紀錄送至SOAR,Entity
Linux主機使用者與使用者權限,Entity
本周工作項目如下: 1.更新GeoDB 2.<HTTPS大量傳輸告警>調整 排除m365網址，並新建立報表 <每日HTTP資料傳輸統計報表(m365): daily report> 單獨發送m365傳輸紀錄 3.FWD02 CPU及磁碟用量異常,Entity
時間為2025/11/05 13:30 至 2025/11/05 19:00,Entity
DLDK container,Entity
VMware Tools 漏洞修補,Entity
未明確定義priotiry 的identity將設為low,Entity
"更新GeoDB, 2025下半年度告警盤點, AI網站服務紀錄調閱報表建置 <Gen AI 連線紀錄(每日): monthly report> <Gen AI 連線紀錄(整月): monthly report> 設定於每月1日凌晨2:00執行",Entity
2025/10/27 13:30 至 2025/10/27 17:30,Entity
確認報表寄送郵件情況,Entity
排程日期,Entity
加入白名單，並修改告警語法,Entity
CVE-2023- 5178,Entity
F客户,Entity
Splunk駐點服務202511第二周(2025/11/11),Entity
UF,Entity
log limit,Entity
突然爆增現象,Entity
A部门,Entity
定保,Entity
websense Log调整,Entity
9.3.3 / 2025.02.26,Entity
預計下次週四到場作業,Entity
2025/12/12 13:30,Entity
Gitlab升級至建議版本,Entity
Centos作業系統,Entity
一年以上情資比對VirusTotal,Entity
10月月維護,Entity
2025/12/26 14:00 至 2025/12/26 15:00,Entity
服務正確，並再次執行健康檢查確認系統功能正常,Entity
Splunk套件,Entity
CVE-2023-39198,Entity
问题,Entity
維護紀錄,Entity
接收狀態檢查,Entity
系统优化建议：根据说明定期检查,Entity
今日工作项目,Entity
PA每月Block Category報表,Entity
PA部門,Entity
2025/12/10 20:00,Entity
MG02磁碟空間,Entity
2025/11/04 09:00 至 2025/11/04 09:30,Entity
2025/12/30 13:30 至 2025/12/30 17:00,Entity
2025/12/31 17:40,Entity
更換SPLUNK內部與網頁憑證，並修改SPLUNK中的憑證路徑,Entity
版本18.5.4,Entity
FWD02,Entity
建立排程,Entity
供廠商進行例行維護或問題解決登入使用,Entity
服务器,Entity
2025/12/16 18:40,Entity
2025/12/30 09:00 至 2025/12/30 12:00,Entity
2025/12/02 12:00,Entity
Maintainer帳號權限確認,Entity
splunk_信用卡處,Entity
Splunk Indexer queue full - 20251211,Entity
完成本月維護作業,Entity
Splunk與UF當前版本： 9.3.8 / 2025.11.14 (EOS:2026.06.24),Entity
SPLUNK,Entity
Splunk系統,Entity
KVstore狀態,Entity
原因為將是否報廢/營運中欄位匯入資產,Entity
因-threat object重複顯示,Entity
客製发送套件,Entity
2025/10/01 13:30 至 2025/10/01 17:30,Entity
網段,Entity
1. 授權用量：建議擴充 -授權量：100GB -平均授權用量：124GB,Entity
最新版本10.0.1/2025.11.14,Entity
GeoDB,Entity
DEP02,Entity
更新geodb,Entity
2025/10/07 13:30 至 2025/10/07 17:30,Entity
H2,Entity
報告及告警寄件人更新,Entity
VirusTotal,Entity
當前版本9.3.3/2025.02.26,Entity
UAT / Production / PIMS 共8台,Entity
Splunk角色,Entity
FISAC,Entity
系統版本,Entity
Gitlab漏洞修補,Entity
更新,Entity
CVE-2025-11224,Entity
2025/11/14 15:33,Entity
底層查看原因,Entity
系統,Entity
協助韌體更新,Entity
G客戶,Entity
FCB147的keep_logs,Entity
待办事项：4.Tenable API App串接,Entity
9.3.8 / 2025.11.14,Entity
已完成修復,Entity
Splunk版本,Entity
狀態,Entity
12.3.5版本,Entity
維護,Entity
james,Entity
pan:log,Entity
Action的一部分,Entity
時間,Entity
弱點之一,Entity
今日工作項目如下,Entity
已完成帳號盤點並寄送報表,Entity
處理工程師工作,Entity
SH KVstore狀態,Entity
pice_logs有缺少檔案的狀況 因為檔案中的log太過相似，splunk會自動判定為相同的log而不重複收容,Entity
2025/12/17 13:30 至 2025/12/17 18:00,Entity
2025/12/04 13:30 至 2025/12/04 17:00,Entity
CVE-2023-51779,Entity
NOT running,Entity
2027/12月,Entity
今日到場作業事項,Entity
CEF outputs套件,Entity
告警,Entity
(ZTA) Splunk 2025 MA 12月定保.DM20250088_(8/12),Entity
2025/11/10 09:30 至 2025/11/10 12:00,Entity
加入了大量稽核規則，且會將稽核日誌轉發到 /var/log/secure，導致estreamer資料量增加,Entity
2025/12/12 09:00,Entity
Assets,Entity
BTDC2 問題處理,Entity
Splunk Indexer queue full - 20251212,Entity
完成寄信測試,Entity
與HEC token for XSOAR,Entity
12月月維護,Entity
CVE-2025-41244、CVE-2025-41246,Entity
Splunk_12月維護,Entity
FWD02磁盘,Entity
es_admin_user角色,Entity
維護工作,Entity
Sourcetype,Entity
2025/12/02 13:30,Entity
等待中,Entity
E客戶,Entity
異常hanging,Entity
geodb,Entity
index=cim_modactions,Entity
當前使用率,Entity
本周工作項目如下,Entity
2025/11/17 13:30 至 2025/11/17 17:30,Entity
DC_ARP_table報表,Entity
駐點工作事項,Entity
AI網站服務,Entity
待完成工作項目,Entity
Splunk SH,Entity
B同事,Entity
將於下周到場繼續處理,Entity
時間段,Entity
Splunk角色能力異常,Entity
修改SASE VPN登入成功報表條件,Entity
調整內容,Entity
版本,Entity
FWD02磁碟,Entity
I客戶,Entity
A客戶,Entity
E客戶的維護問題,Entity
CVE-2023-6932,Entity
imsdb01,Entity
2025/12/11 09:00 至 2025/12/11 18:00,Entity
<SAP重要TCode執行紀錄>告警語法調整,Entity
ARP_table報表,Entity
SH KVstore引擎,Entity
客製寄件套件,Entity
C同事,Entity
一年以上情資比對VirusTotal (進行中),Entity
ES告警,Entity
工程,Entity
2025/12/02 17:30,Entity
設定以停止預先儲存/apps/search路徑下的csv檔案作為知識包,Entity
B客户B部门,Entity
11/14 23:20後,Entity
大量網站攻擊嘗試,Entity
已取得需比對之情資清單,Entity
11月月維護,Entity
主機,Entity
category栏位,Entity
2025/03/14 09:00 至 2025/03/14 14:00,Entity
2025/11/24 10:30 至 2025/11/24 11:00,Entity
150 GB,Entity
Centos,Entity
2025/03/28 09:00 至 2025/03/28 21:00,Entity
事件,Entity
Websebse log異常截斷,Entity
2025/12/23 09:00 至 2025/12/23 18:00,Entity
PIMS search head,Entity
事項,Entity
PA每月Block Category報表新的寄送套件,Entity
下周進行,Entity
覆蓋原先設定檔,Entity
KVSTORE,Entity
Maintainer帳號權限確認 已確認角色能力可符合日常工作使用。,Event
设定 logrotate 排程监控：每2小时检查一次（/etc/cron.d/logrotate-syslog）超过 1G自动 rotate 保留30个文件 自动压缩,Event
申請底層1.Disable splunk自動version check2.CEF outputs套件調整送出格式甲、將換行字元取代成空格乙、最尾端新增一個空格3.調整IIS LOG拋送目的,Event
處理工程師為 C人員 進行時間為 2025/11/17 09:00 至 2025/11/17 17:00,Event
手动重启DLDK容器,Event
處理工程師為 B人員 進行時間為 2025/10/27 13:30 至 2025/10/27 17:30,Event
"處理工程師為 A人員,C人員進行維護",Event
NTP服务检查完成,Event
本日駐點工作內容如下： A部門 3.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,Event
B部门进行FISAC资料收容-进行中,Event
已確認SPLUNK可正常登入使用、KVSTORE 狀態正常,Event
問題：有137台UF已超過15分鐘未與indexer連線 建議：已在轉送器監視設定中更新uf清單，並於更新後讓uf重新報到。,Event
未來包含ES結案等通知皆改由Calvin做審核與結案,Event
B部門 3.n8n無法連線至splunk問題 正在協助排查n8n無法連線至splunk問題,Event
狀態描述 (Description): Splunk_10月維護,Event
處置動作 (Action): 本周工作項目如下:,Event
處理工程師為 B人員 進行時間為 2025/10/07 13:30 至 2025/10/07 17:30,Event
狀態描述 (Description): splunk_B客戶B部門10月月維護,Event
修改sase UF資料收容路徑至/var/log/mammoth,Event
PA 每月Block Category報表在重新執行排程時會出現error，將於下周到場繼續處理,Event
新增indexer至IDX集群节点并观察同步状态,Event
處置動作 (Action): 今日到場作業項目如下： 以新增設備於Switch_6FDC.csv中，並再次執行排程腳本，確認已收入新設備事件,Event
現行版本9.3.3/2025.02.26近期被掃出弱點，建議進行升版,Event
處理工程師為 A人員 进行时间维护,Event
资料大小平衡持续进行中,Event
B部门 检查各台主机关机凭证有效期,Event
在附件中列出所有需列出的设备名称。,Event
2026年國定假日列表更新,Event
處置動作 (Action): 本周工作項目如下: 1. 更新geodb 2. 完成本月維護作業 3. 一年以上情資比對VirusTotal (進行中),Event
處理工程師為 B人員 進行時間為 2025/11/17 13:30 至 2025/11/17 17:30,Event
工作项目包括更新geodb和页面复原,Event
"處理工程師為 A人員, C人員 進行維護工作",Event
E客户进行定保,Event
A人員進行F客戶的維護紀錄,Event
狀態描述 (Description): Splunk 202510-12季維護,Event
有101台UF已超過15分鐘未與indexer連線,Event
新增indexer至IDX cluster節點，目前將觀察index同步狀態。,Event
狀態描述 (Description): E客戶駐點工作事項 - 20251104,Event
"處理工程師為 A人員,C人員 進行時間為 2025/12/31 13:30 至 2025/12/31 17:40",Event
已設定完成所有主機的新IP,Event
處置動作 (Action): 2.伺服器效能：IDX01、IDX02、IDX03空間使用量已達90% 建議：若空間使用量持續增長，將搬移frozen,Event
设置未明确定义优先级的identity为low,Event
處理工程師處理eStreamer資料異常,Event
Splunk Indexer queue full -20251215,Event
FIsac情資撈取 已設定完成，正在等待防火牆開通。,Event
"A人员, C人员为B客户进行维护",Event
處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00,Event
工作事項： 1. 新增/etc/hosts，並重起服务後，正常连线至LM,Event
處置動作 (Action): 4.版本更新：建議先擴充授權使用量，再進行版本升級,Event
代辦事項：7.DEP02 root服务确认,Event
處理工程師為 C人員 進行時間為 2025/10/30 13:30 至 2025/10/30 17:00,Event
资料平衡确认与未连接license master解决,Event
C人員 在 2025/12/09 13:30 至 2025/12/09 17:30 內進行維護工作,Event
狀態描述 (Description): Splunk_11月維護,Event
服务器效能正常,Event
本日駐點工作內容如下： A部門 1.DEP02連動主機檢查-完成,Event
狀態描述: (ZTA) Splunk 2025 MA 12月定保.DM20250088_(8/12),Event
4.<DNS_TUNNELING_單一來源查詢不同網域數量與DNS查詢次數超標>告警調整 查詢不同網域數量閥值由200改為300 統計區間由三分鐘改為五分鐘內,Event
SPLUNK月報寄送 已將SPLUNK2024/09~2025/08的維護報告寄給Hank,Event
處理工程師為 C人員 進行時間為 2025/11/07 15:00 至 2025/11/07 17:00。,Event
新增forcepoint endpoint dlp資料收容 Tcpdump尚未看到封包，待實際拋送後確認,Event
滲透測試IP白名單修改,Event
今日到場作業如下： 1.PA TRAFFIC事件sourcetype更換 將sourcetype更改為pan:log，並套用設定使splunk判斷事件類型,Event
狀態描述 (Description): Splunk駐點服務202511第二周(2025/11/11),Event
2.DEP02 ([IP])移轉(下周進行),Event
修改sase UF資料收容路徑,Event
處理工程師為 B人員 進行時間為 2025/12/15 13:30 至 2025/12/15 17:30。,Event
執行 工作事項： IDX01重新加入後，因同步資料導致IDX02與IDX03滿載,Event
2.報告及告警寄件人更新,Event
請james向FISAC提交需使用API的IP申請單,Event
3.AI網站服務紀錄調閱儀表板建置 為方便後續定期調閱AI網站連線紀錄，已建置調閱儀表板,Event
E客戶駐點工作事項 - 20251218,Event
DEP02转移后服务确认,Event
修改splunk設定以監控相似log,Event
A部門 2.PA 每月報表觸發動作變更 因目前未發現任何相關報表寄送錯誤，也確認並無排程略過問題，為了後續如再次發生排程報表未寄送之問題，已將PA每月報表觸發的預設寄件套 件改為客製寄件套件，該客製套件可於觸發動作後於index=cim_modactions查看郵件寄送狀態，以利問題排查。,Event
處理工程師為 C人員 進行時間為 2025/12/18 09:00 至 2025/12/18 17:30。,Event
删除旧版本残留在ES威胁情报下载的配置DLDK container NOT running,Event
系统优化建议，有10台UF超出预设传输上限,Event
本日工作項目： 3.確認內對內告警 urgency = critical原因 甲、該告警severity 原先就為 high 乙、而該告警對應資產priorty為critical，故urgency提升至critical,Event
處理工程師為 A人員 進行時間為 2025/11/24 10:30 至 2025/11/24 12:00,Event
因目前版本並未有重大弱點，也未受相關BUG,Event
