node,conceptualized_node,node_type
代辦事項： 2.DEP02 ([IP])移轉(下周進行),"transfer, delegation, next week, handover",event
新增indexer 新增indexer至IDX cluster節點，目前將觀察index同步狀態。,"adding, synchronization, indexing, cluster, node",event
删除旧版本残留在ES威胁情报下载的配置DLDK container NOT running,"cleaning, updating, removing, configuration, threatintelligence",event
"處理工程師為 A人員, C人员 进行时间 2025/12/16 14:00 至 2025/12/16 18:40。","maintenance, inspection, calibration, operation, engineering",event
處理工程師為 A人員 進行時間為 2025/11/24 10:30 至 2025/11/24 11:00。,"maintenance, inspection, calibration, operation, servicing",event
C人員 在 2025/12/09 13:30 至 2025/12/09 17:30 內進行維護工作,"maintenance, repair, service, upgrade, downtime",event
轉送器監視設定中 更新 uf清單，並於更新後讓uf重新報到。,"monitoring, updating, synchronization, verification, refresh",event
1.授權用量 : 建議擴充 -授權量 : 375 GB -平均授權使用量 : 1398GB,"扩张, 使用, 授權",event
工作事項： 1. 新增/etc/hosts，並重起服务後，正常连线至LM,"configuring, restarting, connectivity, updating, services",event
狀態描述 (Description): 防火牆事件匯入時間異常,"import, anomaly, firewall, time",event
今日工作項目： 2.確認checkpoint logclm uf log limit 今日發現checkpoint資料收容有約40min延遲 確認原因為該UF已達到預設輸出上限 (256kb/s),"delay, confirmation, limitation, processing, log",event
從這周開始凌晨1:00時CPU和記憶體都有突然爆增現象，今日甚至導致服務異常,"cpu usage, memory spike, service disruption",event
"處理工程師為 A人員, C人員 進行時間為 2025/11/12 13:30 至 2025/11/12 17:40","training, mentoring, engineering, collaboration, guidance",event
處置動作 (Action): 4.版本更新：建議先擴充授權使用量，再進行版本升級 -當前版本：8.0.6 / 2024.10.22 -最新版本：10.0.2 / 2025.11.14,"updating, expanding, licensing",event
A部門 2.PA 每月報表觸發動作變更 因目前未發現任何相關報表寄送錯誤，也確認並無排程略過問題，為了後續如再次發生排程報表未寄送之問題，已將PA每月報表觸發的預設寄件套 件改為客製寄件套件，該客製套件可於觸發動作後於index=cim_modactions查看郵件寄送狀態，以利問題排查。,"configuration, adjustment, automation, monitoring, optimization",event
處理工程師為 C人員 進行時間為 2025/12/11 09:00 至 2025/12/11 18:00,"maintenance, operation, inspection, calibration, scheduling",event
系統優化建議 :無,"optimization, improvement, suggestion",event
SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,"testing, anomaly, verification, functionality, debugging",event
處置動作 (Action): 4.版本更新：建議更新 -當前版本：9.3.3/2025.02.26 -最新版本：10.0.2/2025.11.14 現行版本近期被掃出弱點，建議進行升版,"update, security, version, improvement, patch",event
代辦事項：3.新增Splunk Add-on for Google Cloud Platform的sourcetype,"integration, configuration, deployment, setup, management",event
本日工作項目： 4.Indexer設定防串改 甲、設定路徑為 indexes.conf 中 [defaut] enableDataIntegrityControl=true,"configuration, protection, integrity, setting, path",event
(A部門)DEP02連動主機檢查,"联动, 检查, 主机, 连接, 安全",event
针对H1、H2、H3设备设置priority为critical，其他设为low,"critical, low, priority, equipment",event
SH KVstore引擎異常測試-進行中,"testing, anomaly, performance, durability, simulation",event
工作項目： 1. 修改SASE VPN登入成功報表條件,"reporting, conditions, authentication, access, security",event
調整 clean.sh 資料留存區間（定期清理舊資料，原為留存12小時，現改為6小時）,"cleaning, updating, retention, interval, timeframe",event
本周工作項目如下: 3.<F5VPN特定使用者連線的紀錄(sas)> 停用報表,"report, monitoring, deactivation, log, security",event
處理工程師為 A人員 進行時間為 2025/12/01 10:00 至 2025/12/01 12:00,"maintenance, inspection, calibration, operation, servicing",event
加入设置以停止预先储存/apps/search路径下的csv文件作为知识包。,"stopping, knowledge, csv, storage, path",event
代辦事項：补跑设备IP往段清单给全科人员（每月)。,"distribution, maintenance, updating, inventory, allocation",event
處置動作 工作內容： 該sourcetype斷行異常，故先將其調整回原始sourcetype，待下周駐點確認後進行調整,"adjustment, normalization, verification, correction, formatting",event
刪除 ocp_cdibh 資料並重新進行資料同步,"deleting, synchronization, cleanup",event
解決辦法：刪除KGIBIDX04(主機已下線)備份排程與修改CDIBHMGT02的IP為172.18.44.31,"configuration, modification, backup, scheduling, ip_address",event
處置動作 (Action): 針對UAT / Production / PIMS 共8台進行調整,"adjustment, maintenance, optimization, calibration, setup",event
因為目前未發現任何相關報表寄送錯誤，也確認並無排程略過問題，為了後續如再次發生排程報表未寄送之問題，已將PA每月報表觸發的預設寄件套件改為客製寄件套件，該客製套件可於觸發動作後於index=cim_modactions查看郵件寄送狀態，以利問題排查。,"reporting, scheduling, customization, monitoring, troubleshooting",event
處置動作 (Action): 4.版本更新：建議更新 -當前版本：9.3.3/2025.02.26 -最新版本：10.0.2/2025.11.14,"update, suggestion, version, improvement, recommendation",event
DC_ARP_table 报表已经产出.,"reporting, production, update, documentation, listing",event
Splunk版本升級， 自9.2.3升版至9.3.8,"upgrade, version, software, enhancement, update",event
B部门 检查各台主机关机凭证有效期,"checking, validation, expiration, documentation, confirmation",event
4.版本更新：現行版本近期被掃出弱點，建議進行升版 -當前版本：9.3.3 / 2025.02.26 -最新版本：10.0.1 / 2025.09.25,"update, patch, upgrade, versioning, security",event
KGIBIDX04備份排程被刪除,"backup, deletion, schedule",event
Splunk 驻点服务在2025年12月30日进行维护,"maintenance, update, service, support, deployment",event
狀態描述 (Description): E客戶Splunk駐點 - 20251230,"deployment, support, collaboration, installation, monitoring",event
狀態描述 (Description): Splunk駐點服務202601第一周(2026/1/5),"service, support, monitoring, deployment, maintenance",event
處置動作 (Action): 前一份CSR內容誤植，重新撰寫,"rewriting, accuracy, correction, sustainability, responsibility",event
修改sase UF資料收容路徑,"updating, storing, modifying, path, database",event
状态描述:Splunk每週onsite 處置動作,"deployment, maintenance, monitoring, installation, support",event
4.eStreamer 資料異常處理 發現eStreamer資料從11/14 23:20後僅收到狀態log，且KVstore狀態異常，重啟服務後資料已陸續進到splunk,"data, anomaly, recovery, log, abnormality, reinitialization",event
本次維護報告內容如下： 3.系統優化建議：無,"maintenance, optimization, update, system, functionality",event
A部门确认Maintainer账户权限,"confirmation, authorization, verification, permission, validation",event
確認所有檔案已被完整收容,"confirmation, storage, completion, verification, containment",event
待办事项: Cybereyes API 介接 (进行中),"integration, development, api, interfacing, progress",event
新增/etc/hosts，並重起服务後，正常连线至LM,"configuring, restarting, connectivity, administration, networking",event
A部門 1.PA報表寄信異常-未完成 已補跑報告並寄送郵件,"reporting, communication, completion, notification",event
A部門 的DEP02連動主機檢查完成,"check, completion, verification, inspection",event
狀態描述 (Description): splunk_信用卡處12月月維護,"maintenance, update, security, processing, transaction",event
3.系統優化建議 : 無,"system optimization, suggestion, improvement, enhancement",event
資產上傳APP程式調整,"updating, adjustment, synchronization, maintenance",event
處置動作 (Action): 2.伺服器效能：IDX01、IDX02、IDX03空間使用量已達90% 建議：若空間使用量持續增長，將搬移frozen,"space, efficiency, migration, storage, utilization",event
發現 IDX硬碟空間滿載與資料同步問題,"space满载, 同步问题, 数据丢失, 存储不足, 同步错误",event
本日駐點工作內容如下： B部門 3.n8n無法連線至splunk問題 正在協助排查n8n無法連線至splunk問題,"troubleshooting, connectivity, issue, collaboration, debugging",event
版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14,"update, upgrade, version, improvement, release",event
Splunk使用者權限調整 新增maintainer角色，並設定能力值。,"permission, adjustment, maintenance, capability, role",event
處理工程師為 A人員 進行維護工作,"maintenance, repair, inspection, servicing, troubleshooting",event
Apim1與imsdb01兩台UF關閉inputs至不存在的index,"shutting down, disconnecting, indexing, communication",event
狀態描述 (Description): Splunk_12月維護,"maintenance, update, stability, configuration, patching",event
處理動作：4.版本更新：建議更新 -當前版本：9.3.3/2025.02.26 -最新版本：10.0.2/2025.11.14 現行版本近期被掃出弱點，建議進行升版,"update, security, improvement, version, patch",event
FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。,"submission, application, api, review, approval",event
處置動作 (Action): 4.版本更新：建議更新 -當前版本：9.3.3/2025.02.26 -最新版本：10.0.1/2025.09.25 現行版本近期被掃出弱點，建議進行升版,"update, upgrade, security, improvement, patch",event
2.AI網站服務紀錄調閱 (202508-202510),"data, recording, access, service, log",event
建議更新當前版本至10.0.2/2025.11.14,"update, version, release, upgrade",event
狀態描述:Splunk每週onsite 處置動作,"deployment, maintenance, synchronization, on-site, monitoring",event
處置動作 (Action): 1.授權用量：建議擴充 -授權量：285GB -平均授權用量：203.65GB,"authorization, expansion, usage, limit, allocation",event
處置動作 被 執行,"execution, enforcement, placement, action",event
處理工程師為 A人員 進行時間為 2025/11/07 13:50 至 2025/11/07 17:30,"maintenance, inspection, calibration, operation, work",event
完成 Splunk整体架构IP调整,"adjustment, configuration, optimization, architecture, reorganization",event
1. 更新GeoDB,"updating, database, information, synchronization",event
狀態描述 (Description): Splunk_10月維護,"maintenance, update, stability, configuration, patching",event
本日工作項目： 2. 過濾不同mitreattack新增告警,"filtering, alerts, processing, screening, prioritizing",event
提供設備IP往段清單,"listing, ip, network, devices, management",event
Splunk_11月維護 處置動作 包含 伺服器效能：正常,"maintenance, server, performance, normal",event
處理工程師為 C人員 进行维护,"maintenance, inspection, troubleshooting, servicing, upkeep",event
處理工程師為 B人員 進行時間為 2026/01/13 13:30 至 2026/01/13 17:30。,"maintenance, inspection, operation, timing, duration",event
因現行版本未有弱點釋出，故不升級。,"no update, stability, security, maintenance",event
SH FISAC API input (未使用)關閉,"input, interaction, communication",event
"處理工程師為 A人員, C人員 进行时间从 2025/11/18 13:30 至 2025/11/18 17:30。","maintenance, servicing, inspection, operation, calibration",event
本日駐點工作內容如下： A部门1.帳號盤點清單確認 已完成帳號盤點並寄送報表給C同事,"accounting, verification, documentation, completion, communication",event
FISAC资料收容-进行中,"storage, management, containment, documentation, procession",event
Splunk版本升級,"update, upgrade, enhancement, software",event
已設定完成所有主機的新IP,"setting, configuration, assignment, networking, installation",event
描述Splunk_11月维护的状态,"maintenance, status, update, system, operation",event
进行本月月维护,"maintenance, inspection, servicing",event
處理工程師為 B人員 進行時間為 2025/10/07 13:30 至 2025/10/07 17:30,"maintenance, inspection, calibration, operation, scheduling",event
處理工程師為 B人員 進行時間為 2025/11/11 13:30 至 2025/11/11 17:30,"maintenance, operation, calibration, inspection, scheduling",event
4.FWD03 底層資料收容 filter 設定 已排除大量SERVICE_START 及 SERVICE_STOP 資料 目前觀察每日約產生200個檔案，故暫設定保留一天內的log,"filtering, exclusion, logfiles, retention, monitoring",event
有137台UF已超過15分鐘未與indexer連線,"disconnection, timeout, monitoring, failure, communication",event
處理工程師為 C人員 進行維護紀錄,"maintenance, documentation, repair, recording, servicing",event
"今日發現DNS Datamodel src欄位異常，已完成修復，並新增ES告警 監測""是否有設備連線至很少見的port""","fix, update, monitoring, anomaly, network, security",event
"處理工程師為 A人員,C人員 進行維護工作","维护, 检修, 培训, 指导, 合作",event
建立SASE VPN kick session報表建立,"reporting, establishing, session, sase, monitoring",event
處理工程師進行維護,"maintenance, inspection, repair, troubleshooting, servicing",event
本月維護重點如下： 1.授權使用量 - 購買量:2GB - 平均使用量:0.31GB - 使用率為15.5%，達100%次數為0,"usage, maintenance, authorization, consumption, subscription",event
處理工程師為 C人員 進行時間為 2025/11/04 09:00 至 2025/11/04 09:30。,"maintenance, operation, inspection, calibration, scheduling",event
處置動作為 工作項目： 暫時認定原因為bucket replication造成， 採取workaround，先將RF/SF調至1/1，並將所有資料往單一IDX進行拋送,"bucket, replication, workaround, adjustment, synchronization",event
今日到場作業如下： 1.PA TRAFFIC事件sourcetype更換 將sourcetype更改為pan:log，並套用設定使splunk判斷事件類型,"configuring, updating, settings, log, event classification",event
狀態描述 (Description): ARP_table報表補跑,"arp, report, resync, network, maintenance",event
狀態描述 (Description): Splunk駐點服務202510第四周(2025/10/20),"deployment, support, maintenance, monitoring",event
FIsac情报获取设置完成，等待防火墙开通,"introduction, setup, intelligence, security, deployment",event
現行版本9.3.3/2025.02.26近期被掃出弱點，建議進行升版,"upgrade, vulnerability, patch, security, software",event
處理工程師為A人員安排了時間為2025/12/26 14:00 至 2025/12/26 15:00的維護工作,"scheduling, maintenance, planning, 检修, 时间安排, 服务维护",event
Splunk 版本從9.3.1 升級到 9.3.3,"upgrade, version, software, update",event
處理工程師為 A人員 進行時間為 2025/12/26 14:00 至 2025/12/26 15:00,"maintenance, calibration, inspection, operation, service",event
處理工程師為 C人員 進行時間為 2025/12/30 09:00 至 2025/12/30 12:00,"maintenance, operation, downtime, calibration, inspection",event
狀態描述為E客戶駐點工作事項-20251114,"work, task, onsite, support, maintenance",event
處置動作 (Action): 今日到場作業事項為： 更換SPLUNK內部與網頁憑證，並修改SPLUNK中的憑證路徑,"certification, modification, operation, security, configuration",event
待辦事項: 1. 告警盤點 2. VMware Tools 漏洞修補,"inspection, patching, security, maintenance, vulnerability",event
服务器性能异常，CPU及磁盘使用量上升,"cpu usage, disk usage, anomaly, overload, performance issue",event
与现有设备清单做对比，附件为对比结果,"comparison, documentation, evaluation, updating, analysis",event
checkpoint相關告警查看,"monitoring, alert, verification, inspection, notification",event
DEP02移轉後服務確認 已確已確認服務正確，並再次執行健康檢查確認系統功能正常。,"confirmation, verification, inspection, functionality, health_check",event
防火牆事件匯入時間異常,"异常, 时间, 日志, 安全, 故障",event
處置動作 (Action): 今日工作項目如下： 2.checkpoint相關告警查看 確認所有checkpoint告警使用情況。,"monitoring, verification, alert, checkpoint",event
Splunk Indexer queue full -20251215,"full queue, data processing, indexing, log management",event
建議更新版本至 10.0.2,"update, version, release",event
本日駐點工作內容如下： A部門 1.DEP02連動主機檢查-完成,"work, inspection, completion, operation, maintenance",event
FWD03底層資料收容filter設定已排除大量SERVICESTART及SERVICESTOP資料目前观察每日约产生200个档案，故暂设定保留一天内的log,"logging, filtering, data management, exclusion, monitoring",event
E客户进行定保,"maintenance, service, inspection, 保养",event
4. 版本評估 - 現行版本:9.4.3 (2025.06.05) - 最新版本:10.0.1 (2025.09.25),"updating, version, assessment, improvement, release",event
處置動作 (Action): 本周工作項目如下:,"planning, tasks, agenda, assignments",event
處理工程師為 C人員 進行時間為 2025/12/02 09:00 至 2025/12/02 12:00,"maintenance, operation, inspection, calibration, servicing",event
待辦事項: 1. SSH Server 漏洞修補,"patching, security, vulnerability, maintenance",event
建議擴充授權用量至285GB,"expansion, authorization, storage, capacity",event
刪除舊版本殘留的ES threat intelligence download設定 DLDK container NOT running,"deleting, cleanup, configuration, removal, setting",event
修改sase UF資料收容路徑至/var/log/mammoth,"configuration, migration, logging, directory, update",event
Splunk駐點服務202510第一周(2025/10/01) 的工作內容被描述,"documenting, work, description, operations, support",event
指出作業系統版本為Red Hat 9.4,"linux, version, distribution",event
工作事項： IDX01重新加入後，因同步资料导致IDX02与IDX03满载,"syncing, overload, synchronization, data同步",event
處理工程師為 C人員 進行時間為 2025/11/04 13:30 至 2025/11/04 17:30。,"maintenance, operation, calibration, inspection, scheduling",event
狀態描述 (Description): E客戶駐點工作事項 - 20251223 處置動作 (Action),"placement, installation, deployment, positioning",event
Splunk SH 異常hanging,"error, logging, monitoring, anomaly",event
Splunk每週onsite 處置動作 (Action): A部門 1.Splunk 使用者權限調整 新增maintainer角色，並設定能力值。,"permission, adjustment, maintenance, delegation, access",event
已將全數logclm UF調整上限為 20480 KB/S 同時發現該維護報告該檢查並未開啟，已重新開啟,"adjustment, limitation, maintenance, reopening",event
處置動作 (Action): 4.版本更新：暫不更新 -當前版本：9.3.6/2025.07.31 -最新版本：10.0.2/2025.11.14 因目前版本並未有重大弱點，也未受相關BUG，故建議暫不升版,"update, version, stability, maintenance, recommendation",event
新增forcepoint endpoint dlp資料收容 Tcpdump尚未看到封包，待實際拋送後確認,"monitoring, data, security, inspection, network",event
代辦事項： 6.BTDC2 問題處理,"handling, resolution, task, management, troubleshooting",event
版本更新：現行版本近期被掃出弱點，建議進行升版,"update, security, enhancement",event
本日駐點工作內容如下： A部門 1.PA報表寄信異常-未完成 已補跑報告並寄送郵件，另外報告存取時間為1天，所以以排程報告執行時間(11/1)，保存期限為11/2。 PA 每月Block Category報表在重新執行排程時會出現error，將於下周到場繼續處理,"work, report, scheduling, error, processing",event
處理工程師為 C人員 進行維護工作,"maintenance, inspection, troubleshooting, servicing, upkeep",event
進行時間為 2025/12/15 13:30 至 2025/12/15 17:30,"event, duration, timing",event
将ocp_cdibh资料删除後，重新进行资料同步,"deletion, synchronization, updating",event
B部門 2.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,"testing, anomaly, validation, performance, durability",event
资料大小平衡持续进行中,"balancing, ongoing, data, equilibrium, process",event
處理工程師為 C人員 進行時間為 2025/12/18 09:00 至 2025/12/18 17:30。,"maintenance, operation, inspection, calibration, scheduling",event
A部門進行維護,"maintenance, shutdown, inspection, service, operation",event
2.<SAP重要TCode執行紀錄>告警語法調整 原語法中的user經比對僅得到系統管理員，並非實際user，因此調整語法，透過比對cyberark log取得實際user後再寄出信件,"adjustment, comparison, actualization, notification, security",event
DEP02 ([IP])移轉(下周進行),"transfer, handover, next week",event
代辦事項： 1.Centos作業系統升級(評估中),"upgrade, assessment, maintenance, system, update",event
完成 SPLUNK月报寄送,"reporting, completion, delivery, monitoring, notification",event
Indexer設定防串改,"security, setting, prevention, protection",event
B部門 3.n8n無法連線至splunk問題 正在協助排查n8n無法連線至splunk問題,"connection issue, troubleshooting, inaccessible, network problem",event
狀態描述 (Description): E客戶 Splunk 2025 MA 10月定保.DM20250088_(6/12),"maintenance, inspection, service, calibration, update",event
状态描述 (Description): Splunk每週onsite 處置動作,"on-site, placement, maintenance, monitoring, deployment",event
3.AI網站服務紀錄調閱報表建置 <Gen AI 連線紀錄(每日): monthly report> <Gen AI 連線紀錄(整月): monthly report> 設定於每月1日凌晨2:00執行,"reporting, automation, monitoring, data collection, scheduling",event
待辦事項: 1. GitLab 漏洞修補,"patching, updates, security, tasks, vulnerabilities",event
新增告警将SASE登入成功纪录送至SOAR,"logging, alert, security, automation, recording",event
B客戶 的維護紀錄被記錄,"recording, maintenance, documentation, history, log",event
代辦事項：補產出ARP_table報表給您(排程設定每月執行）,"task, scheduling, reporting, production, automation",event
4.部屬新crowdstrike套件 已部屬套件於SH上,"deployment, installation, security, protection, configuration",event
處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00,"maintenance, inspection, calibration, operation, scheduling",event
2.<刪除資料庫中IOC> 頁面復原 3.<HTTP對外大量傳輸資料報表>調整 於報表新增需監控之url,"data, monitoring, adjustment, recovery, transmission",event
更新GeoDB,"updating, database, geolocation, maintenance",event
1.授權用量：建議擴充 -授權量：150 GB -平均授權用量：649.33 GB,"授权, 用量, 扩展, 平均",event
待完成工作項目： 1.FISAC API Input無資料時會跳Error,"error, input, api, data, functionality",event
B人員進行維護工作,"maintenance, inspection, repair, operation",event
問題：DEP02主機排程為晚上11點執行KGIBIDX04與CDIBHMGT02的遠端設定檔備份腳本,"backup, scheduling, automation, remote, nightly",event
新增 maintainer 角色並設定能力值,"setting, role, maintenance, capability, management",event
確認資料持續進行平衡，且無空間滿載,"checking, balancing, validation, space management, updating",event
已檢查各台主機的 NTP服務已啟用,"checking, validation, synchronization, service, assurance",event
目前KV store狀態及磁碟用量皆為正常,"normal, status, storage",event
Splunk升版,"update, upgrade, improvement, enhancement",event
A部門 3.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,"testing, anomaly, verification, stability, performance",event
检查B部门indexer索引同步状态,"checking, synchronization, status, validation",event
"处理工程师为A人员, C人员进行工作","training, guidance, support, documentation, collaboration",event
另外本次維護報告內容如下，再麻煩您確認後回簽CSR：,"confirmation, maintenance, verification, documentation",event
已將SPLUNK2024/09~2025/08的維護報告寄給C同事,"sharing, maintenance, reporting, cooperation, documentation",event
目前已有請james向FISAC提交需使用API的IP申請單。,"submission, application, api, authorization, request",event
建议扩大授权量至150 GB,"authorization, storage, permission, increase, allocation",event
確認伺服器效能正常,"checking, performance, normal, confirmation, stability",event
確認checkpoint logclm uf log limit 今日發現checkpoint資料收容有約40min延遲 確認原因為該UF已達到預設輸出上限 (256kb/s) 已將全數logclm UF調整上限為 20480 KB/S 同時發現該維護報告該檢查並未開啟，已重新開啟,"delay, limit, adjustment, monitoring, configuration",event
Splunk帳號更動,"account, update, authentication, permission, modification",event
告警语法规则调整,"adjustment, rule, modification, regulation, syntax",event
Splunk 10月維護報告 檢查B部門indexer索引同步狀態,"maintenance, synchronization, inspection, stability, update",event
1.已暫先手動重啟,"重启, 暂停, 手动",event
DEP02主機排程問題被發現,"problem, scheduling, issue, malfunction",event
A部門Splunk角色能力異常 已於底層重新調整es_admin_user與admin角色的能力，並於網頁上驗證功能可使用,"role adjustment, verification, privileges, security, configuration",event
代辦事項：补产出ARP_table报表给您(排程设置每月执行）,"schedule, task, reporting, planning, execution",event
狀態描述 (Description): E客戶Splunk駐點 - 20251230 處置動作 (Action): 新增Trendmicro host資料收容,"deployment, integration, security, monitoring, protection",event
已部屬新套件至各SH上,"部署, 新增, 服务器",event
本周工作項目如下: 1.更新GeoDB 2.主機異常處理 MG02磁碟用量超過90% -> 刪除過去備份及安裝檔，已降至85% FWD03備份異常 -> 原因為FCB設定導致備份目的路徑權限限縮，導致無法備份，已復原權限並手動執行備份 3.Cyble ASM IP白名單更新 4.Splunk帳號更動 由於人員變更，經確認後已刪除Ryan之Splunk帳號,"work, update, maintenance, permission, security",event
前一份CSR內容誤植，重新撰寫,"revisions, errors, responsibility, sustainability, communication",event
以新增設備於Switch_6FDC.csv中，並再次執行排程腳本,"updating, scheduling, equipment, configuration",event
提供原廠diag並開立CASE請求協助,"diagnosis, support, issue, documentation, troubleshooting",event
今日已添加設定，讓splunk監控所有檔案即使內容相似,"monitoring, configuration, logging, alerting",event
"處理工程師為A人員,C人員進行時間為2025/12/24 13:30 至 2025/12/24 20:00","training, scheduling, maintenance, operation, collaboration",event
狀態描述 (Description): E客戶駐點工作事項 - 20251104,"work, inspection, maintenance, support, documentation",event
狀態描述 (Description): 設備接收狀態檢查,"inspection, status, maintenance, monitoring, checkup",event
處置動作 (Action): 3.系統優化建議 : 無,"system, optimization, suggestion",event
處理工程師為 C人員進行時間為 2025/12/04 13:30 至 2025/12/04 17:00,"maintenance, training, operation, scheduling, duration",event
<F5VPN特定使用者連線的紀錄(ssp)>調整 根據需求將”數位科技中心”之紀錄獨立出來，拆分為以下兩個報告 <F5VPN特定使用者連線的紀錄(ssp) 不含數位科技中心> <F5VPN特定使用者連線的紀錄(ssp) 僅數位科技中心>,"split, record, filtration, adjustment, compilation",event
Nix logon success語法確認,"login failure, authentication, security, access denied",event
正在個人的測試環境測試SH的KVstore狀態。,"testing, status, environment, validation, performance",event
處理工程師B人員在2025/12/19 13:30至2025/12/19 16:00進行維護工作,"maintenance, repair, downtime, inspection, servicing",event
完成 離開前資料備份的同步,"backup, synchronization, departure, completion, data",event
2.<HTTPS大量傳輸告警>調整 排除m365網址，並新建立報表 <每日HTTP資料傳輸統計報表(m365): daily report> 單獨發送m365傳輸紀錄,"alert, adjustment, reporting, transmission, isolation",event
狀態描述 Splunk 驻點服務20251226 - websense 斷行確認,"confirmation, outage, maintenance, monitoring, service",event
FISAC資料收容進行中,"storage, processing, documentation, archive, management",event
PA每月報表補寄 已補寄報表，後續將繼續查看排程無法正常寄送報表問題。,"reporting, scheduling, communication, supplementation",event
